地区,年份,人口出生率(‰),地方财政教育支出(亿元),全体居民人均消费支出(元),地区生产总值(亿元),地区生产总值指数(上年=100),医疗卫生机构床位数(万张),医疗卫生机构数(个),地方财政医疗卫生支出(亿元),医院病床使用率(%),每万人拥有卫生技术人员数(人),每万人医疗机构床位数(张),年末常住人口(万人),人口自然增长率(‰),人口死亡率(‰)
湖北省,2020年,8.28,1192.02,19246.0,43017.6,94.6,41.14,35447.0,1019.71,72.1,74.0,71.2,5745.0,0.61,7.67
湖南省,2020年,8.53,1325.25,20998.0,41693.7,103.8,51.99,56042.0,737.62,76.2,75.0,78.2,6645.0,0.61,7.92
广东省,2020年,10.28,3510.56,28492.0,113708.9,102.4,56.48,55900.0,1772.99,71.1,66.0,44.8,12624.0,5.58,4.7
广西壮族自治区,2020年,11.36,1061.1,16357.0,22250.7,103.7,29.56,33875.0,624.84,82.8,74.0,59.0,5019.0,4.9,6.46
海南省,2020年,10.36,295.84,18972.0,5640.8,103.6,5.85,6127.0,220.09,66.6,74.0,58.0,1012.0,4.51,5.85
重庆市,2020年,7.47,754.97,21678.0,25158.1,103.9,23.55,20922.0,434.45,74.7,74.0,73.5,3209.0,-0.23,7.7
四川省,2020年,7.6,1686.16,19783.0,49445.1,103.8,64.98,82793.0,1030.52,79.0,76.0,77.7,8371.0,-0.88,8.48
贵州省,2020年,13.7,1073.34,14874.0,18308.3,104.6,27.64,28880.0,565.66,75.7,75.0,71.7,3858.0,6.53,7.17
云南省,2020年,10.96,1162.02,16792.0,25214.5,104.1,32.52,26626.0,711.34,77.5,78.0,68.9,4722.0,3.04,7.92
西藏自治区,2020年,13.96,273.89,13225.0,1956.5,108.1,1.86,6939.0,144.37,56.2,62.0,50.9,366.0,8.59,5.37
陕西省,2020年,8.95,998.58,17418.0,26297.0,102.1,27.24,34983.0,509.17,68.7,92.0,68.9,3955.0,1.84,7.11
甘肃省,2020年,10.55,662.99,16175.0,9323.1,104.0,17.19,26204.0,370.24,71.6,72.0,68.7,2501.0,2.64,7.91
青海省,2020年,11.43,218.14,18284.0,3080.6,101.7,4.13,6407.0,172.09,70.2,83.0,69.7,593.0,4.78,6.65
宁夏回族自治区,2020年,11.59,208.42,17506.0,4036.2,104.1,4.13,4574.0,118.57,68.8,81.0,57.3,721.0,5.71,5.88
新疆维吾尔自治区,2020年,6.94,908.11,16512.0,14262.2,103.6,18.15,18158.0,471.66,69.9,74.0,70.2,2590.0,1.48,5.46
北京市,2019年,8.12,1137.18,43038.0,37767.0,106.4,12.78,10336.0,534.41,82.6,126.0,59.33,2190.0,2.63,5.49
天津市,2019年,6.73,467.63,31854.0,14097.2,104.8,6.83,5962.0,197.86,79.8,70.0,43.71,1385.0,1.43,5.3
河北省,2019年,10.83,1537.09,17987.0,35623.5,106.9,43.01,84651.0,695.07,81.3,65.0,56.65,7447.0,4.71,6.12
山西省,2019年,9.12,696.28,15863.0,17311.0,106.3,21.84,42162.0,366.68,76.6,69.0,58.58,3497.0,3.27,5.85
内蒙古自治区,2019年,8.23,609.97,20743.0,17479.4,105.4,16.11,24564.0,322.18,71.4,77.0,63.43,2415.0,2.57,5.66
辽宁省,2019年,6.45,702.38,22203.0,25665.9,105.6,31.38,34238.0,364.54,73.8,71.0,72.12,4277.0,-0.8,7.25
吉林省,2019年,6.05,500.53,18075.0,11949.4,103.1,17.03,22198.0,281.69,76.2,70.0,63.3,2448.0,-0.85,6.9
黑龙江省,2019年,5.73,555.13,18111.0,13962.5,104.1,26.26,20375.0,314.42,74.5,63.0,70.0,3255.0,-1.01,6.74
上海市,2019年,7.0,995.7,45605.0,40241.2,106.3,14.65,5597.0,493.44,96.2,84.0,60.32,2481.0,1.5,5.5
江苏省,2019年,9.12,2213.84,26697.0,99836.9,106.0,51.6,34796.0,906.01,85.7,78.0,63.94,8469.0,2.08,7.04
浙江省,2019年,10.51,1764.69,32026.0,64632.0,107.0,35.02,34119.0,735.61,88.4,89.0,59.86,6375.0,4.99,5.52
安徽省,2019年,12.03,1222.21,19137.0,37584.8,107.4,34.74,26435.0,687.36,83.1,57.0,54.57,6092.0,5.99,6.04
福建省,2019年,12.9,968.54,25314.0,42479.1,107.5,20.22,27788.0,467.76,82.8,66.0,50.9,4137.0,6.8,6.1
